数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,前收盘价,复权因子,成交量,成交额,波动,地区,行业,上市日期,退市日期
600689.SH,上海三毛,20200618,8.43,8.38,8.48,8.34,8.46,-0.9456,15438.81,12928.844,-0.08000000000000007,上海,纺织,19931108,
600689.SH,上海三毛,20200617,8.5,8.46,8.5,8.35,8.43,0.3559,13782.11,11624.154,0.030000000000001137,上海,纺织,19931108,
600689.SH,上海三毛,20200616,8.34,8.43,8.44,8.32,8.34,1.0791,16007.9,13418.708,0.08999999999999986,上海,纺织,19931108,
600689.SH,上海三毛,20200615,8.34,8.34,8.43,8.28,8.35,-0.1198,14646.0,12239.65,-0.009999999999999787,上海,纺织,19931108,
600689.SH,上海三毛,20200612,8.23,8.35,8.36,8.12,8.31,0.4813,12879.56,10639.04,0.03999999999999915,上海,纺织,19931108,
600689.SH,上海三毛,20200611,8.3,8.31,8.35,8.27,8.33,-0.2401,12880.01,10692.992,-0.019999999999999574,上海,纺织,19931108,
600689.SH,上海三毛,20200610,8.33,8.33,8.34,8.23,8.34,-0.1199,12490.0,10347.927,-0.009999999999999787,上海,纺织,19931108,
600689.SH,上海三毛,20200609,8.32,8.34,8.37,8.26,8.3,0.4819,16292.01,13537.249,0.03999999999999915,上海,纺织,19931108,
600689.SH,上海三毛,20200608,8.36,8.3,8.38,8.24,8.33,-0.3601,22958.1,19040.582,-0.02999999999999936,上海,纺织,19931108,
600689.SH,上海三毛,20200605,8.52,8.33,8.55,8.33,8.5,-2.0,37662.5,31555.681,-0.16999999999999993,上海,纺织,19931108,
600689.SH,上海三毛,20200604,8.45,8.5,8.53,8.38,8.41,1.0702,29466.51,24917.3,0.08999999999999986,上海,纺织,19931108,
600689.SH,上海三毛,20200603,8.37,8.41,8.6,8.32,8.38,0.358,39350.95,33171.245,0.02999999999999936,上海,纺织,19931108,
600689.SH,上海三毛,20200602,8.41,8.38,8.48,8.32,8.38,0.0,27736.0,23262.47,0.0,上海,纺织,19931108,
600689.SH,上海三毛,20200601,8.25,8.38,8.41,8.22,8.32,0.7212,38049.24,31739.936,0.0600000000000005,上海,纺织,19931108,
600689.SH,上海三毛,20200529,8.08,8.32,8.5,8.02,8.08,2.9703,44882.02,36981.121,0.2400000000000002,上海,纺织,19931108,
