 ˝æ›”…w0x7ce’˚¿Ì
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,«∞ ’≈Ãº€,∏¥»®“Ú◊”,≥…Ωª¡ø,≥…Ωª∂Ó,≤®∂Ø,µÿ«¯,––“µ,…œ –»’∆⁄,ÕÀ –»’∆⁄
603711.SH,œ„∆Æ∆Æ,20200618,30.16,30.2,30.26,29.42,30.0,0.6667,18904.0,56183.137,0.1999999999999993,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200617,30.62,30.0,30.77,29.73,30.56,-1.8325,21477.09,64662.408,-0.5599999999999987,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200616,29.9,30.56,30.66,29.72,29.9,2.2074,17616.23,53053.081,0.6600000000000001,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200615,30.26,29.9,31.45,29.66,30.38,-1.58,24955.72,75218.507,-0.4800000000000004,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200612,29.71,30.38,30.79,29.36,30.36,0.0659,19264.52,58183.711,0.019999999999999574,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200611,30.97,30.36,31.25,30.25,30.85,-1.5883,23569.71,71997.485,-0.490000000000002,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200610,31.12,30.85,31.6,30.5,30.91,-0.1941,22519.8,69927.718,-0.05999999999999872,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200609,31.58,30.91,31.73,30.6,31.17,-0.8341,25527.91,79127.273,-0.26000000000000156,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200608,32.2,31.17,33.5,31.05,32.22,-3.2588,43365.86,138166.291,-1.0499999999999972,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200605,32.19,32.22,32.88,31.38,32.14,0.2489,50784.41,163043.028,0.0799999999999983,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200604,29.28,32.14,32.14,29.23,29.22,9.9932,48331.55,150223.171,2.9200000000000017,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200603,28.8,29.22,29.4,28.37,28.58,2.2393,27179.5,79050.119,0.6400000000000006,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200602,28.75,28.58,29.11,28.19,28.76,-0.6259,22304.4,63867.006,-0.18000000000000327,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200601,28.07,28.76,28.9,27.7,27.83,3.3417,24953.0,70672.528,0.9300000000000033,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200529,27.39,27.83,28.33,26.81,27.32,1.8668,25212.0,69369.166,0.509999999999998,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200528,27.6,27.32,27.95,27.05,27.55,-0.8348,30524.33,83702.762,-0.23000000000000043,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200527,28.0,27.55,28.96,27.32,27.6,-0.1812,32664.04,92408.528,-0.05000000000000071,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200526,26.7,27.6,27.78,26.3,26.49,4.1903,16083.03,43905.191,1.110000000000003,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200525,27.05,26.49,27.08,25.8,26.81,-1.1936,21916.0,58064.305,-0.3200000000000003,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200522,28.02,26.81,28.31,26.7,28.08,-4.5228,21285.69,57982.696,-1.2699999999999996,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200521,28.96,28.08,29.18,27.8,28.8,-2.5,20244.0,57799.0,-0.7200000000000024,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200520,29.3,28.8,29.3,28.65,29.21,-1.4036,16619.0,48007.896,-0.41000000000000014,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200519,29.39,29.21,29.6,28.68,29.08,0.447,13374.0,38902.851,0.13000000000000256,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200518,29.5,29.08,29.64,28.9,29.05,0.1033,12980.54,37953.524,0.029999999999997584,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200515,29.69,29.05,29.85,28.75,29.23,-0.6158,27615.69,80706.927,-0.17999999999999972,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200514,29.22,29.23,29.54,28.93,29.28,-0.1708,14762.11,43185.498,-0.05000000000000071,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200513,29.5,29.28,29.5,28.52,29.06,0.7571,21158.91,61609.246,0.22000000000000242,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200512,28.05,29.06,29.08,27.65,27.79,4.57,22077.45,63172.868,1.2699999999999996,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200511,27.45,27.79,28.23,27.18,27.17,2.2819,15162.15,42063.063,0.6199999999999974,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200508,26.76,27.17,27.45,26.54,26.82,1.305,14895.31,40452.539,0.3500000000000014,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200507,27.1,26.82,27.3,26.6,26.89,-0.2603,17014.1,45716.444,-0.07000000000000028,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200506,26.15,26.89,27.2,26.0,26.5,1.4717,22950.75,61579.9,0.39000000000000057,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200430,25.2,26.5,26.5,25.2,25.2,5.1587,23555.08,60868.003,1.3000000000000007,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200429,24.3,25.2,25.75,24.08,24.59,2.4807,27911.1,70519.129,0.6099999999999994,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200428,25.02,24.59,25.62,23.75,26.33,-6.6084,68498.91,169168.24,-1.7399999999999984,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200427,26.33,26.33,27.29,26.33,29.26,-10.0137,35244.85,93591.564,-2.9300000000000033,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200424,29.59,29.26,29.6,28.62,29.2,0.2055,25297.0,73530.885,0.060000000000002274,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200423,29.11,29.2,29.7,28.62,29.02,0.6203,27396.02,79913.914,0.17999999999999972,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200422,27.2,29.02,29.1,27.06,27.6,5.1449,35954.91,102200.736,1.4199999999999982,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200421,27.86,27.6,28.23,27.38,27.84,-0.8621,15324.81,42441.993,-0.23999999999999844,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200420,27.65,27.84,27.87,27.1,27.59,0.9061,19664.08,54060.472,0.25,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200417,27.76,27.59,28.19,27.38,27.76,-0.6124,25081.08,69418.629,-0.1700000000000017,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200416,28.0,27.76,28.27,27.2,28.0,-0.8571,29225.72,80703.835,-0.23999999999999844,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200415,29.0,28.0,29.17,27.82,28.95,-3.2815,32575.91,92058.318,-0.9499999999999993,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200414,29.15,28.95,29.18,28.58,28.95,0.0,19161.22,55411.795,0.0,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200413,28.94,28.95,29.37,28.4,29.6,-2.1959,24713.33,71348.528,-0.6500000000000021,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200410,30.0,29.6,30.17,28.82,29.87,-0.9039,29716.89,87371.55,-0.2699999999999996,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200409,28.96,29.87,30.1,28.5,28.96,3.1423,40221.04,118121.404,0.9100000000000001,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200408,29.84,28.96,30.56,28.8,29.88,-3.079,48918.56,143046.879,-0.9199999999999982,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200407,29.2,29.88,30.0,29.2,28.52,4.7686,47283.38,139920.199,1.3599999999999994,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200403,27.76,28.52,28.7,27.64,27.85,2.4057,31242.8,88578.626,0.6699999999999982,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200402,26.63,27.85,27.99,26.51,26.65,4.5028,39743.7,109271.706,1.2000000000000028,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200401,27.91,26.65,28.69,26.58,28.03,-4.9233,43133.35,117424.538,-1.3800000000000026,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200331,27.38,28.03,28.48,27.08,26.98,3.8918,32240.85,90282.966,1.0500000000000007,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200330,27.35,26.98,27.78,24.8,27.55,-2.069,29661.0,80327.542,-0.5700000000000003,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200327,27.76,27.55,28.26,27.38,27.56,-0.0363,41030.44,114396.484,-0.00999999999999801,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200326,26.6,27.56,27.75,26.27,26.83,2.7208,49466.42,134711.704,0.7300000000000004,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200325,27.31,26.83,27.63,26.55,27.01,-0.6664,41523.09,112172.5,-0.18000000000000327,’„Ω≠,»Ì“˚¡œ,20171130,
603711.SH,œ„∆Æ∆Æ,20200324,26.49,27.01,27.2,26.05,25.87,4.4066,52934.52,141326.928,1.1400000000000006,’„Ω≠,»Ì“˚¡œ,20171130,
