数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh688518,N联赢,2020-06-22,28.0,29.6,26.2,26.22,7.81,49846393.0,1356889677.0
sh688518,联赢激光,2020-06-23,25.08,27.6,24.66,27.19,26.22,34625719.0,912898590.0
