杅擂蚕w0x7ce淕燴
嘖き測鎢,嘖き靡備,蝠眢�梪�,羲攫歎,彶攫歎,郔詢歎,郔腴歎,ヶ彶攫歎,葩�例藦�,傖蝠講,傖蝠塗,疏雄,華⑹,俴珛,奻庈�梪�,豖庈�梪�
300093.SZ,踢試產薛,20200618,11.1,11.1,11.2,11.02,11.1,0.0,17174.0,19091.956,0.0,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200617,11.2,11.1,11.2,11.0,11.09,0.0902,23837.0,26405.186,0.009999999999999787,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200616,11.32,11.09,11.32,10.99,11.2,-0.9821,33980.01,37797.865,-0.10999999999999943,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200615,11.7,11.2,11.79,11.16,11.64,-3.7801,52296.0,59584.408,-0.4400000000000013,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200612,11.27,11.64,11.66,11.17,11.36,2.4648,74681.23,85783.5,0.28000000000000114,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200611,10.84,11.36,11.6,10.84,10.84,4.797,72112.89,81293.508,0.5199999999999996,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200610,10.75,10.84,11.08,10.75,10.86,-0.1842,39236.2,42747.178,-0.019999999999999574,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200609,10.8,10.86,10.91,10.7,10.83,0.277,13441.1,14531.036,0.02999999999999936,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200608,11.0,10.83,11.06,10.7,10.96,-1.1861,38004.16,41301.017,-0.13000000000000078,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200605,10.97,10.96,11.16,10.83,10.93,0.2745,26666.06,29343.567,0.030000000000001137,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200604,11.32,10.93,11.32,10.89,11.19,-2.3235,26550.0,29257.235,-0.2599999999999998,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200603,10.9,11.19,11.38,10.8,10.85,3.1336,51922.05,57862.786,0.33999999999999986,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200602,10.83,10.85,11.03,10.74,10.83,0.1847,36880.61,40054.851,0.019999999999999574,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200601,11.07,10.83,11.07,10.72,10.91,-0.7333,54141.0,58632.872,-0.08000000000000007,嫘陲,產薛,20100708,
300093.SZ,踢試產薛,20200529,10.9,10.91,11.09,10.78,10.92,-0.0916,28334.0,31047.403,-0.009999999999999787,嫘陲,產薛,20100708,
