数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sz300824,北鼎股份,2020-06-22,9.36,9.36,9.36,9.36,8.51,36128.0,338158.0
sz300824,北鼎股份,2020-06-23,10.3,10.3,10.3,10.3,9.36,47714.0,491454.0
sz300824,北鼎股份,2020-06-24,11.33,11.33,11.33,11.33,10.3,70353.0,797099.0
sz300824,北鼎股份,2020-06-30,13.71,13.71,13.71,13.71,12.46,84940.0,1164527.0
